scope,category,current_tp,current_fp,current_fn,current_precision,current_recall,current_f1,scis_tp,scis_fp,scis_fn,scis_precision,scis_recall,scis_f1,delta_f1,verdict
category_pair,direct_usage_of_shared_memory,7,29,19,0.1944,0.2692,0.2258,0,2,26,0.0,0.0,0.0,0.2258,improved
category_pair,input_validation_weakness,19,15,9,0.5588,0.6786,0.6129,10,13,18,0.4348,0.3571,0.3922,0.2207,improved
category_pair,unencrypted_data_output,13,8,8,0.619,0.619,0.619,14,7,7,0.6667,0.6667,0.6667,-0.0476,regressed
overall_strict_line_category,all,39,34,36,0.5342,0.52,0.527,24,24,51,0.5,0.32,0.3902,0.1368,improved
overall_line,all,44,29,31,0.6027,0.5867,0.5946,35,13,40,0.7292,0.4667,0.5691,0.0255,improved
