scope,category,current_tp,current_fp,current_fn,current_precision,current_recall,current_f1,scis_tp,scis_fp,scis_fn,scis_precision,scis_recall,scis_f1,delta_f1,verdict
category_pair,direct_usage_of_shared_memory,5,24,21,0.1724,0.1923,0.1818,0,2,26,0.0,0.0,0.0,0.1818,improved
category_pair,input_validation_weakness,15,24,13,0.3846,0.5357,0.4478,10,13,18,0.4348,0.3571,0.3922,0.0556,improved
category_pair,unencrypted_data_output,5,9,16,0.3571,0.2381,0.2857,14,7,7,0.6667,0.6667,0.6667,-0.381,regressed
overall_strict_line_category,all,25,45,50,0.3571,0.3333,0.3448,24,24,51,0.5,0.32,0.3902,-0.0454,regressed
overall_line,all,40,30,35,0.5714,0.5333,0.5517,35,13,40,0.7292,0.4667,0.5691,-0.0174,regressed
