scope,category,current_tp,current_fp,current_fn,current_precision,current_recall,current_f1,scis_tp,scis_fp,scis_fn,scis_precision,scis_recall,scis_f1,delta_f1,verdict
category_pair,direct_usage_of_shared_memory,8,27,18,0.2286,0.3077,0.2623,0,2,26,0.0,0.0,0.0,0.2623,improved
category_pair,input_validation_weakness,15,25,13,0.375,0.5357,0.4412,10,13,18,0.4348,0.3571,0.3922,0.049,improved
category_pair,unencrypted_data_output,7,5,14,0.5833,0.3333,0.4242,14,7,7,0.6667,0.6667,0.6667,-0.2424,regressed
overall_strict_line_category,all,30,47,45,0.3896,0.4,0.3947,24,24,51,0.5,0.32,0.3902,0.0045,improved
overall_line,all,42,35,33,0.5455,0.56,0.5526,35,13,40,0.7292,0.4667,0.5691,-0.0165,regressed
