scope,category,current_tp,current_fp,current_fn,current_precision,current_recall,current_f1,scis_tp,scis_fp,scis_fn,scis_precision,scis_recall,scis_f1,delta_f1,verdict
category_pair,direct_usage_of_shared_memory,7,23,19,0.2333,0.2692,0.25,0,2,26,0.0,0.0,0.0,0.25,improved
category_pair,input_validation_weakness,15,25,13,0.375,0.5357,0.4412,10,13,18,0.4348,0.3571,0.3922,0.049,improved
category_pair,unencrypted_data_output,7,8,14,0.4667,0.3333,0.3889,14,7,7,0.6667,0.6667,0.6667,-0.2778,regressed
overall_strict_line_category,all,29,46,46,0.3867,0.3867,0.3867,24,24,51,0.5,0.32,0.3902,-0.0036,regressed
overall_line,all,43,32,32,0.5733,0.5733,0.5733,35,13,40,0.7292,0.4667,0.5691,0.0042,improved
